pit_id,pit_date,pit_name,operation_name,professional,pit_country,pit_region,pit_near_avalanche_location,LOC_grain_form,Comments
65129,2024-04-06,Hlfj-Púðurbakki_950,Icelandic Meteorological Office,True,IS,Tröllaskagi,flank,DH,"Skoðun á brotstáli í togsprungu aðliggjandi að flóði sem sprengt var í Púðurbakka 2.4 sl., sz #3.
Greining á samsetningu fleka, veiks lags og rennslisflatar samanborið við önnur nýleg flóð á svæðinu."
6607,2018-02-08,20180208 Watrous,Colorado Avalanche Information Center,True,US,CO,crown,DH,
67117,2024-12-04,Mines 2,Colorado Avalanche Information Center,True,US,CO,crown,DH,The avalanche broke on the decomposing MFcr about 20cm from the ground in some places. It stepped down and mostly ran on the ground. There was a similar slide in the adjacent path.
67258,2024-12-07,Cat Scratch,Steamboat Powdercats,True,US,CO,crown,DH,
67310,2024-12-08,Beaver Basin,AIARE,True,US,UT,flank,DH,Dug adjacent to size 3 that likely released 20241127. Surprised to get two ECTPVs- base was cavernous talus and overlying slab was very dense. Probably hard to affect these basal layers due to very stout surface crust and midpack slab. 
68040,2024-12-19,Route 1A shot 1,Jackson Hole Ski Patrol,True,US,WY,crown,DH,Crown Profile
69634,2025-01-10,20250110 MacFarlanes,Aspen mtn ski patrol,True,US,CO,crown,DH,
69800,2025-01-03,JB Jungle.Koz,Irwin Guides,True,US,CO,crown,DH,
71558,2025-02-04,Stairstep NW,,False,US,AK,crown,DH,
7259,2018-02-21,crosspoint,Beaver Creek Ski Patrol,True,US,CO,flank,DH,
73178,2025-02-05,Peace sign,Taos Ski Valley,True,US,NM,crown,DH,
7459,2018-02-25,East Face Giant Steps,Park City Powder Cats,True,US,UT,flank,DH,"multiple shallow SS-N-R2-D1-I 10""D-50'W-400'V"
7640,2018-03-02,Chablis.  First Rock,,False,US,UT,flank,DH,SS/HS-AS-R3D1.5-O intentionally triggered on up track.  Failed on 3mm facets below Feb 16th snow @ 26cm up from ground. Slab failed and ran on facet/crust interface at 21cm.  Feb 18th dirt layer at 33cm from ground.  50' wide by 1' deep.  Ran 300' vertically.  Second slide HS/SS-AS-R3D2-O on right flank of original slide triggered on same layer with a ski cut.  300' wide 1.5' deep.  Running 400 vert ft and triggering another 350' wide 1' deep SS lower on slope.   This is the same layer that was failing on isolation in UFO Bowl 2 on Feb 28th.  A crack from the avalanche was found 15' - 30' back from crown on ridge line.  
8429,2018-03-24,Helags heli mitt,"Topsport, Sweden",True,SE,Funäsfjällen,flank,DH,
8720,2018-04-05,"Björkis, drivan",STF Abisko,True,SE,Björkliden,crown,DH,
