,index,geldsetzer_group,count,mean,median,std,min,max,Q1,Q3,IQR,hand_hardness,geldsetzer_grain_form,geldsetzer_density,diff,diff_percent
66,6,1F / PPgp,9,288.44,304.0,75.13,160.0,430.0,260.0,320.0,60.0,1F,PPgp,194.0,-94.44,-32.74164470947164
67,111,P- / DF,9,248.89,240.0,65.99,170.0,400.0,235.0,260.0,25.0,P-,DF,197.0,-51.889999999999986,-20.84856764032303
68,18,1F- / DH,9,277.89,250.0,49.75,230.0,390.0,250.0,300.0,50.0,1F-,DH,252.0,-25.889999999999986,-9.31663607902407
69,96,P / DH,9,306.69,274.0,118.34,170.0,533.26,224.0,320.0,96.0,P,DH,285.0,-21.689999999999998,-7.072287978088624
70,89,K+ / RG,9,333.22,445.0,223.07,27.0,530.0,47.0,490.0,443.0,K+,RG,447.0,113.77999999999997,34.14560950723245
71,61,F+ / PP,8,107.25,102.5,60.3,17.0,230.0,80.0,119.5,39.5,F+,PP,93.0,-14.25,-13.286713286713287
72,70,F- / RG,7,313.44,446.0,218.82,25.0,509.0,112.5,494.54,382.04,F-,RG,,,
73,86,K+ / FC,7,480.29,460.0,51.46,410.0,558.0,457.5,509.5,52.0,K+,FC,,,
74,80,K / DF,6,373.83,370.0,92.89,280.0,543.0,315.0,380.0,65.0,K,DF,,,
75,88,K+ / MF,5,402.4,412.0,67.3,310.0,490.0,370.0,430.0,60.0,K+,MF,,,
76,44,4F- / PP,5,104.05,130.0,60.96,0.26,150.0,100.0,140.0,40.0,4F-,PP,105.0,0.9500000000000028,0.9130225852955337
77,68,F- / MF,4,410.0,410.0,65.83,330.0,490.0,382.5,437.5,55.0,F-,MF,,,
78,100,P / PP,4,507.16,435.0,245.28,296.79,861.86,400.45,541.72,141.27,P,PP,189.0,-318.16,-62.733654073665114
79,65,F- / DH,4,226.92,208.85,58.3,180.0,310.0,190.5,245.27,54.77,F-,DH,,,
80,112,P- / DH,4,305.83,305.0,47.87,250.0,363.34,280.0,330.84,50.84,P-,DH,277.0,-28.829999999999984,-9.426805741751949
81,5,1F / PP,4,203.0,210.0,43.98,144.0,248.0,186.0,227.0,41.0,1F,PP,153.0,-50.0,-24.63054187192118
82,71,F- / SH,4,194.23,178.5,55.09,150.0,269.91,155.25,217.48,62.23,F-,SH,,,
83,10,1F+ / DH,3,213.43,310.0,184.85,0.3,330.0,155.15,320.0,164.85,1F+,DH,268.0,54.56999999999999,25.56810195380218
84,76,I+ / IF,3,489.0,365.0,271.17,302.0,800.0,333.5,582.5,249.0,I+,IF,,,
85,101,P / PPgp,3,276.67,280.0,45.09,230.0,320.0,255.0,300.0,45.0,P,PPgp,231.0,-45.670000000000016,-16.507030035782705
86,79,I- / IF,3,406.67,400.0,11.55,400.0,420.0,400.0,410.0,10.0,I-,IF,,,
87,78,I+ / RG,3,367.33,357.0,28.92,345.0,400.0,351.0,378.5,27.5,I+,RG,,,
88,90,K- / DF,3,333.33,350.0,66.58,260.0,390.0,305.0,370.0,65.0,K-,DF,,,
89,74,I+ / DH,3,208.33,224.0,37.07,166.0,235.0,195.0,229.5,34.5,I+,DH,,,
90,31,4F / SH,3,170.0,180.0,75.5,90.0,240.0,135.0,210.0,75.0,4F,SH,,,
91,38,4F+ / PPgp,3,246.67,240.0,54.31,196.0,304.0,218.0,272.0,54.0,4F+,PPgp,169.0,-77.66999999999999,-31.487412332265773
92,104,P+ / DF,2,275.0,275.0,91.92,210.0,340.0,242.5,307.5,65.0,P+,DF,221.0,-54.0,-19.636363636363637
93,73,I / MF,2,395.0,395.0,134.35,300.0,490.0,347.5,442.5,95.0,I,MF,,,
94,15,1F+ / PPgp,2,310.0,310.0,70.71,260.0,360.0,285.0,335.0,50.0,1F+,PPgp,206.0,-104.0,-33.5483870967742
95,3,1F / IF,2,289.5,289.5,70.0,240.0,339.0,264.75,314.25,49.5,1F,IF,,,
96,62,F+ / PPgp,2,210.0,210.0,42.43,180.0,240.0,195.0,225.0,30.0,F+,PPgp,132.0,-78.0,-37.142857142857146
97,92,K- / IF,2,394.75,394.75,37.83,368.0,421.5,381.38,408.12,26.74,K-,IF,,,
98,107,P+ / IF,2,144.0,144.0,0.0,144.0,144.0,144.0,144.0,0.0,P+,IF,,,
99,81,K / DH,2,419.9,419.9,71.98,369.0,470.8,394.45,445.35,50.9,K,DH,310.0,-109.89999999999998,-26.172898309121216
100,37,4F+ / PP,2,110.0,110.0,42.43,80.0,140.0,95.0,125.0,30.0,4F+,PP,129.0,19.0,17.272727272727273
101,77,I+ / PP,2,119.5,119.5,27.58,100.0,139.0,109.75,129.25,19.5,I+,PP,,,
102,51,F / IF,1,800.0,800.0,,800.0,800.0,800.0,800.0,0.0,F,IF,,,
103,114,P- / IF,1,244.0,244.0,,244.0,244.0,244.0,244.0,0.0,P-,IF,,,
104,8,1F / SH,1,260.0,260.0,,260.0,260.0,260.0,260.0,0.0,1F,SH,,,
105,109,P+ / PPgp,1,445.0,445.0,,445.0,445.0,445.0,445.0,0.0,P+,PPgp,,,
106,67,F- / IF,1,20.0,20.0,,20.0,20.0,20.0,20.0,0.0,F-,IF,,,
107,13,1F+ / MM,1,168.0,168.0,,168.0,168.0,168.0,168.0,0.0,1F+,MM,,,
108,105,P+ / DH,1,300.0,300.0,,300.0,300.0,300.0,300.0,0.0,P+,DH,293.0,-7.0,-2.3333333333333335
109,103,P / SH,1,175.0,175.0,,175.0,175.0,175.0,175.0,0.0,P,SH,,,
110,14,1F+ / PP,1,145.0,145.0,,145.0,145.0,145.0,145.0,0.0,1F+,PP,165.0,20.0,13.793103448275861
111,21,1F- / PP,1,290.0,290.0,,290.0,290.0,290.0,290.0,0.0,1F-,PP,141.0,-149.0,-51.37931034482759
112,47,4F- / SH,1,360.0,360.0,,360.0,360.0,360.0,360.0,0.0,4F-,SH,,,
113,26,4F / IF,1,269.0,269.0,,269.0,269.0,269.0,269.0,0.0,4F,IF,,,
114,35,4F+ / IF,1,490.0,490.0,,490.0,490.0,490.0,490.0,0.0,4F+,IF,,,
115,87,K+ / IF,1,370.0,370.0,,370.0,370.0,370.0,370.0,0.0,K+,IF,,,
116,45,4F- / PPgp,1,210.0,210.0,,210.0,210.0,210.0,210.0,0.0,4F-,PPgp,145.0,-65.0,-30.952380952380953
117,117,P- / SH,1,200.0,200.0,,200.0,200.0,200.0,200.0,0.0,P-,SH,,,
