snowpit_id,weight_above_target_layer,bending_stiffness_above_target_layer,dataset
35632,53.440000000000005,44413967307.770294,All Layer of Concern
39841,16.38,6127756632.8124485,All Layer of Concern
34772,139.77,1286337823865.0994,All Layer of Concern
40911,62.38,90948667853.9029,All Layer of Concern
36631,22.47,3139163891.214388,All Layer of Concern
45369,85.85,240246716303.90277,All Layer of Concern
42549,57.120000000000005,134211848584.78395,All Layer of Concern
40857,63.14000000000001,112264141999.59294,All Layer of Concern
41476,95.26,698012559515.7654,All Layer of Concern
35012,32.56,30929920263.764824,All Layer of Concern
43968,12.150000000000002,1005171574.0266979,All Layer of Concern
39520,127.61000000000001,2714601864107.023,All Layer of Concern
35362,47.2,67210411703.597626,All Layer of Concern
42533,57.120000000000005,134211848584.78395,All Layer of Concern
36820,219.51,7777593098677.179,All Layer of Concern
40193,40.23,41578575841.248924,All Layer of Concern
41088,82.36,205782157492.75964,All Layer of Concern
41041,134.1,1378736911218.9482,All Layer of Concern
37750,43.75,39114726768.84693,All Layer of Concern
43102,11.700000000000001,681945868.0001088,All Layer of Concern
39860,33.739999999999995,21624117479.78875,All Layer of Concern
42104,63.63,264488003684.71796,All Layer of Concern
40930,16.439999999999998,2359643230.7361846,All Layer of Concern
36756,138.4,1951663433993.4902,All Layer of Concern
34938,39.5,39961641483.73846,All Layer of Concern
40271,51.69,68935780506.18013,All Layer of Concern
35496,56.68000000000001,113991115755.10971,All Layer of Concern
38488,119.08000000000001,842621237482.5756,All Layer of Concern
34942,19.15,4377032682.36471,All Layer of Concern
38394,169.56,4525608563048.628,All Layer of Concern
38507,88.70000000000002,453380749709.68445,All Layer of Concern
36212,132.65,1541574250453.4785,All Layer of Concern
52857,46.010000000000005,59296312917.10293,All Layer of Concern
44116,31.720000000000002,38025716272.810646,All Layer of Concern
39179,75.91,245739402336.51028,All Layer of Concern
35357,4.05,16903483.2139849,All Layer of Concern
41733,59.74000000000001,108294461461.36272,All Layer of Concern
41443,63.190000000000005,104379566496.38857,All Layer of Concern
43446,88.85000000000001,302969596906.0486,All Layer of Concern
37022,119.03999999999999,1518505212844.2397,All Layer of Concern
37214,9.3,248345951.29974747,All Layer of Concern
